location_id,location_name,source,poll,variable,yoy,yoy_rel,rsquared_testing,rmse_testing
chandrapur_ind.20_1_in,Chandrapur,cpcb,no2,trend,-8.802742720175871,-0.31699150013907773,0.8368655747221918,3.993157219630106
chennai_ind.31_1_in,Chennai,cpcb,no2,observed,4.889649950567552,0.3092027370782639,0.791368344634086,2.7363927874542084
chennai_ind.31_1_in,Chennai,cpcb,no2,trend,3.9771376603005884,0.2495826676021871,0.791368344634086,2.7363927874542084
delhi_ind.25_1_in,Delhi,cpcb,no2,observed,-2.239672076433571,-0.05897405275348163,0.8887359584842689,5.113481204997444
delhi_ind.25_1_in,Delhi,cpcb,no2,trend,-2.8360819381627067,-0.07394726099450927,0.8887359584842689,5.113481204997444
dewas_ind.19_1_in,Dewas,cpcb,no2,observed,-14.321211970311365,-0.624022499757296,0.849018739512261,4.295980406707682
dewas_ind.19_1_in,Dewas,cpcb,no2,trend,-12.216017248735344,-0.565164747353984,0.849018739512261,4.295980406707682
durgapur_ind.36_1_in,Durgapur,cpcb,no2,observed,3.4903487777117697,0.1513668789104121,0.9111904024590572,4.309220890553109
durgapur_ind.36_1_in,Durgapur,cpcb,no2,trend,1.97888811719314,0.0823968128594529,0.9111904024590572,4.309220890553109
faridabad_ind.12_1_in,Faridabad,cpcb,no2,observed,1.766651721447527,0.0987006783454553,0.8804770355468533,9.054987454634816
faridabad_ind.12_1_in,Faridabad,cpcb,no2,trend,0.39858832374786957,0.02123585261991129,0.8804770355468533,9.054987454634816
firozabad_ind.34_1_in,Firozabad,cpcb,no2,observed,-15.41773360825926,-0.5163917800653104,0.8794293204959551,4.7807439207439435
firozabad_ind.34_1_in,Firozabad,cpcb,no2,trend,-13.78306079624641,-0.4817559762134604,0.8794293204959551,4.7807439207439435
gaya_ind.5_1_in,Gaya,cpcb,no2,observed,-12.138033352999809,-0.40166401509286903,0.8745197543095818,7.78512145622178
gaya_ind.5_1_in,Gaya,cpcb,no2,trend,-11.41519165972209,-0.3844207888118065,0.8745197543095818,7.78512145622178
ghaziabad_ind.34_1_in,Ghaziabad,cpcb,no2,observed,0.4424659559506523,0.009329739854660202,0.9122827183315259,7.815948336698962
ghaziabad_ind.34_1_in,Ghaziabad,cpcb,no2,trend,1.7326670334713938,0.037901592228789395,0.9122827183315259,7.815948336698962
guwahati_ind.4_1_in,Guwahati,cpcb,no2,observed,0.29871016137733175,0.06168489668122133,0.8865918469576543,2.1456366826248394
guwahati_ind.4_1_in,Guwahati,cpcb,no2,trend,0.6720415413238934,0.1511443476345474,0.8865918469576543,2.1456366826248394
gwalior_ind.19_1_in,Gwalior,cpcb,no2,observed,-8.19493505826047,-0.28889143987270804,0.9046133479609199,4.318502613085996
gwalior_ind.19_1_in,Gwalior,cpcb,no2,trend,-7.9171646951339945,-0.2841440584738842,0.9046133479609199,4.318502613085996
haldia_ind.36_1_in,Haldia,cpcb,no2,observed,1.974632929498938,0.12290634777173558,0.8128321821673135,3.578505234598137
haldia_ind.36_1_in,Haldia,cpcb,no2,trend,0.4723680906491694,0.027271571061229467,0.8128321821673135,3.578505234598137
howrah_ind.36_1_in,Howrah,cpcb,no2,observed,2.2256132642534894,0.1198834357467753,0.902277008268195,5.619102301784616
howrah_ind.36_1_in,Howrah,cpcb,no2,trend,2.4607533028446866,0.13403944405855897,0.902277008268195,5.619102301784616
hyderabad_ind.32_1_in,Hyderabad,cpcb,no2,observed,0.5809071113071624,0.03782882174775499,0.9312973454308252,3.3898359069571575
hyderabad_ind.32_1_in,Hyderabad,cpcb,no2,trend,0.48929407450956397,0.03204200365491709,0.9312973454308252,3.3898359069571575
indore_ind.19_1_in,Indore,cpcb,no2,observed,-16.48132955572794,-0.3012692263388806,0.8402637252742449,10.825718481187305
indore_ind.19_1_in,Indore,cpcb,no2,trend,-12.378251613152557,-0.24140276546609282,0.8402637252742449,10.825718481187305
